17173962,5바,음식,3611010700,세종특별자치시 나성북로 9,127.2578501,36.48964436
24286366,동양농기연기대전대리,소매,3611034021,세종특별자치시 금남면 성덕영곡길 16,127.2772239,36.46100522
20755519,코리아부동산,부동산,3611010600,세종특별자치시 나리1로 16,127.2590393,36.47727798
23505124,수목길,음식,3611036033,세종특별자치시 연서면 당산로 262,127.2779336,36.55643062
11720062,세븐일레븐세종침산원룸점,소매,3611025028,세종특별자치시 조치원읍 문화1길 10,127.2896189,36.60026355
24474905,한양공업사,생활서비스,3611033021,세종특별자치시 부강면 부강신대길 4,127.3579431,36.53289786
9159834,씨엔지유기농,소매,3611032024,세종특별자치시 연동면 매바위길 8-16,127.3560218,36.55181309
24597276,신안부동산공인중개사사무소,부동산,3611034021,세종특별자치시 금남면 용포로 98,127.2818848,36.46735095
20550374,윤미네식당,음식,3611025025,세종특별자치시 조치원읍 조치원4길 33,127.2991446,36.59994144
20538528,대현인터네셔널,소매,3611025028,세종특별자치시 조치원읍 충현로 137,127.2947337,36.60073552
22463784,모애선교아가방,소매,3611025028,세종특별자치시 조치원읍 충현로 159,127.2941772,36.60292216
24309365,꽃단지,소매,3611033021,세종특별자치시 부강면 부강4길 14,127.3678234,36.52912946
20404756,남자의자격,음식,3611025030,세종특별자치시 조치원읍 죽림로 40,127.295743,36.59174744
15585205,동진건축,생활서비스,3611025027,세종특별자치시 세종특별자치시 조치원읍 장안길 109,127.3010617,36.59558184
20798130,대륜부동산,부동산,3611010600,세종특별자치시 노을1로 16,127.2606235,36.48084763
5265810,충청진생가,소매,3611034037,세종특별자치시 금남면 호탄길 48-22,127.2976355,36.47277093
24513828,수왕쇼파,소매,3611032026,세종특별자치시 연동면 강변길 119-17,127.3106256,36.57707262
20583823,양촌식당,음식,3611038021,세종특별자치시 전동면 전동로 42,127.2696413,36.65640478
15549821,다원마트,소매,3611025027,세종특별자치시 세종특별자치시 조치원읍 산책2길 8,127.3003051,36.59396424
25015879,시그마마트,소매,3611025032,세종특별자치시 조치원읍 안터길 22,127.2878665,36.62553187
20490958,피자명,음식,3611025034,세종특별자치시 조치원읍 돌마루1길 1-8,127.2907395,36.60604696
22936711,코러스단란주점,음식,3611038021,세종특별자치시 전동면 전동로 27,127.2683623,36.65563992
